Francoise Lannoy|Mar 30, 1952|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100215-francoise-lannoy
Colette Leblanc|Mar 7, 1966|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100216-colette-leblanc
Dominique Lebon|Mar 26, 1961|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100217-dominique-lebon
Claudine Lefranc|Jun 13, 1967|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100218-claudine-lefranc
Veronique Leys|Nov 7, 1961|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100219-veronique-leys
Maryse Marcq|Feb 7, 1953|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100220-maryse-marcq
Nadine Maerten|Feb 21, 1953|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100221-nadine-maerten
Michèle Martin|Jul 10, 1963|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100222-michele-martin
Karin Merckx|Feb 11, 1964|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100224-karin-merckx
Arianne Meyns|Mar 14, 1961|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100225-arianne-meyns
Anne Moerenhout|May 26, 1950|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100226-anne-moerenhout
Brigitte Monfils|May 19, 1968|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100227-brigitte-monfils
Ilse Nuytens|Sep 24, 1969|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100228-ilse-nuytens
Kristine Ockiek|Mar 31, 1954|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100229-kristine-ockiek
Ann Pattyn|Nov 26, 1968|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100230-ann-pattyn
Carine Pochet|Mar 19, 1959|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100231-carine-pochet
Els Poot|May 16, 1967|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100232-els-poot
Catherine Populaire|Sep 28, 1965|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100233-catherine-populaire
Pascale Renard|Jul 31, 1960|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100234-pascale-renard
Marie-Anne Rommel|Aug 29, 1955|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100235-marie-anne-rommel
Patricia De Roo|Jul 12, 1961|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100236-patricia-de-roo
Veronique Van Cauter|Mar 13, 1969|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100237-veronique-van-cauter
Ann Van Doren|Jan 13, 1969|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100238-ann-van-doren
Pascale Van Roy|Apr 24, 1964|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100239-pascale-van-roy
Ann Romanie Van Rymenant|Dec 18, 1959|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100240-ann-romanie-van-rymenant
Chantal Schelkens|Sep 14, 1964|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100241-chantal-schelkens
Martine Severens|Oct 16, 1964|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100244-martine-severens
